
  0%|                                                                                                                                                                                                                                                                                               | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
64, NMSE : 0.002780914306640625, lr : 0.05
tensor(0.0029, device='cuda:0') tensor(0.1191, device='cuda:0')
65, NMSE : 0.002758026123046875, lr : 0.05
tensor(0.0026, device='cuda:0') tensor(0.1206, device='cuda:0')
66, NMSE : 0.002735137939453125, lr : 0.05
tensor(0.0024, device='cuda:0') tensor(0.0918, device='cuda:0')
67, NMSE : 0.0027103424072265625, lr : 0.05
tensor(0.0029, device='cuda:0') tensor(0.1183, device='cuda:0')
68, NMSE : 0.002685546875, lr : 0.05
tensor(0.0027, device='cuda:0') tensor(0.1141, device='cuda:0')
69, NMSE : 0.0026645660400390625, lr : 0.05
tensor(0.0024, device='cuda:0') tensor(0.1023, device='cuda:0')
70, NMSE : 0.002643585205078125, lr : 0.05
tensor(0.0028, device='cuda:0') tensor(0.1098, device='cuda:0')
71, NMSE : 0.002620697021484375, lr : 0.05
tensor(0.0018, device='cuda:0') tensor(0.0818, device='cuda:0')
72, NMSE : 0.002605438232421875, lr : 0.05
tensor(0.0019, device='cuda:0') tensor(0.0899, device='cuda:0')
73, NMSE : 0.0025844573974609375, lr : 0.05
tensor(0.0025, device='cuda:0') tensor(0.1104, device='cuda:0')
74, NMSE : 0.002567291259765625, lr : 0.05
tensor(0.0020, device='cuda:0') tensor(0.1033, device='cuda:0')
75, NMSE : 0.0025501251220703125, lr : 0.05
tensor(0.0023, device='cuda:0') tensor(0.1040, device='cuda:0')
76, NMSE : 0.0025310516357421875, lr : 0.05
tensor(0.0017, device='cuda:0') tensor(0.0714, device='cuda:0')
77, NMSE : 0.002513885498046875, lr : 0.05
tensor(0.0023, device='cuda:0') tensor(0.1021, device='cuda:0')
78, NMSE : 0.002498626708984375, lr : 0.05
tensor(0.0019, device='cuda:0') tensor(0.0918, device='cuda:0')
79, NMSE : 0.002483367919921875, lr : 0.05
tensor(0.0019, device='cuda:0') tensor(0.0924, device='cuda:0')
80, NMSE : 0.0024662017822265625, lr : 0.05
tensor(0.0018, device='cuda:0') tensor(0.0885, device='cuda:0')
81, NMSE : 0.0024509429931640625, lr : 0.05
tensor(0.0015, device='cuda:0') tensor(0.0682, device='cuda:0')
82, NMSE : 0.002437591552734375, lr : 0.05
tensor(0.0018, device='cuda:0') tensor(0.0783, device='cuda:0')
83, NMSE : 0.002422332763671875, lr : 0.05
tensor(0.0019, device='cuda:0') tensor(0.0843, device='cuda:0')
84, NMSE : 0.0024089813232421875, lr : 0.05
tensor(0.0014, device='cuda:0') tensor(0.0677, device='cuda:0')
85, NMSE : 0.0023956298828125, lr : 0.05
tensor(0.0018, device='cuda:0') tensor(0.0883, device='cuda:0')
86, NMSE : 0.002384185791015625, lr : 0.05
tensor(0.0014, device='cuda:0') tensor(0.0688, device='cuda:0')
87, NMSE : 0.0023708343505859375, lr : 0.05
tensor(0.0016, device='cuda:0') tensor(0.0750, device='cuda:0')
88, NMSE : 0.0023593902587890625, lr : 0.05
tensor(0.0014, device='cuda:0') tensor(0.0728, device='cuda:0')
89, NMSE : 0.002346038818359375, lr : 0.05
tensor(0.0016, device='cuda:0') tensor(0.0806, device='cuda:0')
90, NMSE : 0.0023365020751953125, lr : 0.05
tensor(0.0013, device='cuda:0') tensor(0.0666, device='cuda:0')
91, NMSE : 0.002323150634765625, lr : 0.05
tensor(0.0015, device='cuda:0') tensor(0.0721, device='cuda:0')
92, NMSE : 0.0023136138916015625, lr : 0.05
tensor(0.0014, device='cuda:0') tensor(0.0676, device='cuda:0')
93, NMSE : 0.0023040771484375, lr : 0.05
tensor(0.0010, device='cuda:0') tensor(0.0545, device='cuda:0')
94, NMSE : 0.0022945404052734375, lr : 0.05
tensor(0.0015, device='cuda:0') tensor(0.0677, device='cuda:0')
95, NMSE : 0.002285003662109375, lr : 0.05
tensor(0.0012, device='cuda:0') tensor(0.0613, device='cuda:0')
96, NMSE : 0.002277374267578125, lr : 0.05
tensor(0.0013, device='cuda:0') tensor(0.0660, device='cuda:0')
97, NMSE : 0.0022678375244140625, lr : 0.05
tensor(0.0012, device='cuda:0') tensor(0.0641, device='cuda:0')
98, NMSE : 0.00225830078125, lr : 0.05
tensor(0.0011, device='cuda:0') tensor(0.0578, device='cuda:0')
99, NMSE : 0.0022487640380859375, lr : 0.05
tensor(0.0012, device='cuda:0') tensor(0.0596, device='cuda:0')
100, NMSE : 0.0022411346435546875, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0446, device='cuda:0')
101, NMSE : 0.002231597900390625, lr : 0.05
tensor(0.0014, device='cuda:0') tensor(0.0663, device='cuda:0')
102, NMSE : 0.0022258758544921875, lr : 0.05
tensor(0.0011, device='cuda:0') tensor(0.0565, device='cuda:0')
103, NMSE : 0.002216339111328125, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0515, device='cuda:0')
104, NMSE : 0.002208709716796875, lr : 0.05
tensor(0.0013, device='cuda:0') tensor(0.0701, device='cuda:0')
105, NMSE : 0.0022029876708984375, lr : 0.05
tensor(0.0008, device='cuda:0') tensor(0.0433, device='cuda:0')
106, NMSE : 0.002193450927734375, lr : 0.05
tensor(0.0011, device='cuda:0') tensor(0.0607, device='cuda:0')
107, NMSE : 0.0021877288818359375, lr : 0.05
tensor(0.0010, device='cuda:0') tensor(0.0543, device='cuda:0')
108, NMSE : 0.0021800994873046875, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0535, device='cuda:0')
109, NMSE : 0.00217437744140625, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0327, device='cuda:0')
110, NMSE : 0.0021686553955078125, lr : 0.05
tensor(0.0013, device='cuda:0') tensor(0.0594, device='cuda:0')
111, NMSE : 0.0021648406982421875, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0421, device='cuda:0')
112, NMSE : 0.00215911865234375, lr : 0.05
tensor(0.0011, device='cuda:0') tensor(0.0602, device='cuda:0')
113, NMSE : 0.0021514892578125, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0375, device='cuda:0')
114, NMSE : 0.0021457672119140625, lr : 0.05
tensor(0.0011, device='cuda:0') tensor(0.0601, device='cuda:0')
115, NMSE : 0.0021419525146484375, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0401, device='cuda:0')
116, NMSE : 0.00213623046875, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0455, device='cuda:0')
117, NMSE : 0.0021305084228515625, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0430, device='cuda:0')
118, NMSE : 0.0021266937255859375, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0506, device='cuda:0')
119, NMSE : 0.0021209716796875, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0321, device='cuda:0')
120, NMSE : 0.002117156982421875, lr : 0.05
tensor(0.0012, device='cuda:0') tensor(0.0629, device='cuda:0')
121, NMSE : 0.0021114349365234375, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0339, device='cuda:0')
122, NMSE : 0.0021076202392578125, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0374, device='cuda:0')
123, NMSE : 0.002101898193359375, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0532, device='cuda:0')
124, NMSE : 0.00209808349609375, lr : 0.05
tensor(0.0008, device='cuda:0') tensor(0.0480, device='cuda:0')
125, NMSE : 0.0020923614501953125, lr : 0.05
tensor(0.0008, device='cuda:0') tensor(0.0443, device='cuda:0')
126, NMSE : 0.0020904541015625, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0430, device='cuda:0')
127, NMSE : 0.002086639404296875, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0372, device='cuda:0')
128, NMSE : 0.0020809173583984375, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0431, device='cuda:0')
129, NMSE : 0.0020771026611328125, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0348, device='cuda:0')
130, NMSE : 0.0020732879638671875, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0424, device='cuda:0')
131, NMSE : 0.002071380615234375, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0360, device='cuda:0')
132, NMSE : 0.0020656585693359375, lr : 0.05
tensor(0.0008, device='cuda:0') tensor(0.0467, device='cuda:0')
133, NMSE : 0.0020618438720703125, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0305, device='cuda:0')
134, NMSE : 0.0020580291748046875, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0492, device='cuda:0')
135, NMSE : 0.002056121826171875, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0281, device='cuda:0')
136, NMSE : 0.00205230712890625, lr : 0.05
tensor(0.0008, device='cuda:0') tensor(0.0431, device='cuda:0')
137, NMSE : 0.0020465850830078125, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0289, device='cuda:0')
138, NMSE : 0.0020427703857421875, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0464, device='cuda:0')
139, NMSE : 0.002040863037109375, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0319, device='cuda:0')
140, NMSE : 0.00203704833984375, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0456, device='cuda:0')
141, NMSE : 0.002033233642578125, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0428, device='cuda:0')
142, NMSE : 0.0020313262939453125, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0282, device='cuda:0')
143, NMSE : 0.0020275115966796875, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0437, device='cuda:0')
144, NMSE : 0.0020236968994140625, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0340, device='cuda:0')
145, NMSE : 0.00202178955078125, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0335, device='cuda:0')
146, NMSE : 0.00202178955078125, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0369, device='cuda:0')
147, NMSE : 0.002017974853515625, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0397, device='cuda:0')
148, NMSE : 0.00201416015625, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0266, device='cuda:0')
149, NMSE : 0.0020122528076171875, lr : 0.05
tensor(0.0009, device='cuda:0') tensor(0.0511, device='cuda:0')
150, NMSE : 0.0020084381103515625, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0204, device='cuda:0')
151, NMSE : 0.00200653076171875, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0294, device='cuda:0')
152, NMSE : 0.00200653076171875, lr : 0.05
tensor(0.0007, device='cuda:0') tensor(0.0368, device='cuda:0')
153, NMSE : 0.002002716064453125, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0376, device='cuda:0')
154, NMSE : 0.0019989013671875, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0386, device='cuda:0')
155, NMSE : 0.0019969940185546875, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0276, device='cuda:0')
156, NMSE : 0.0019931793212890625, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0362, device='cuda:0')
157, NMSE : 0.00199127197265625, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0240, device='cuda:0')
158, NMSE : 0.00199127197265625, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0231, device='cuda:0')
159, NMSE : 0.001987457275390625, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0350, device='cuda:0')
160, NMSE : 0.0019855499267578125, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0264, device='cuda:0')
161, NMSE : 0.0019855499267578125, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0268, device='cuda:0')
162, NMSE : 0.0019817352294921875, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0257, device='cuda:0')
163, NMSE : 0.001979827880859375, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0321, device='cuda:0')
164, NMSE : 0.001979827880859375, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0181, device='cuda:0')
165, NMSE : 0.00197601318359375, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0351, device='cuda:0')
166, NMSE : 0.00197601318359375, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0242, device='cuda:0')
167, NMSE : 0.001972198486328125, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0213, device='cuda:0')
168, NMSE : 0.0019702911376953125, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0339, device='cuda:0')
169, NMSE : 0.0019702911376953125, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0342, device='cuda:0')
170, NMSE : 0.0019664764404296875, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0200, device='cuda:0')
171, NMSE : 0.001964569091796875, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0299, device='cuda:0')
172, NMSE : 0.001964569091796875, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0258, device='cuda:0')
173, NMSE : 0.001964569091796875, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0257, device='cuda:0')
174, NMSE : 0.00196075439453125, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0252, device='cuda:0')
175, NMSE : 0.00196075439453125, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0280, device='cuda:0')
176, NMSE : 0.001956939697265625, lr : 0.05
tensor(0.0006, device='cuda:0') tensor(0.0347, device='cuda:0')
177, NMSE : 0.0019550323486328125, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0197, device='cuda:0')
178, NMSE : 0.0019550323486328125, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0237, device='cuda:0')
179, NMSE : 0.0019550323486328125, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0273, device='cuda:0')
180, NMSE : 0.0019521713256835938, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0207, device='cuda:0')
181, NMSE : 0.0019521713256835938, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0220, device='cuda:0')
182, NMSE : 0.0019521713256835938, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0203, device='cuda:0')
183, NMSE : 0.0019483566284179688, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0171, device='cuda:0')
184, NMSE : 0.0019483566284179688, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0226, device='cuda:0')
185, NMSE : 0.0019483566284179688, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0300, device='cuda:0')
186, NMSE : 0.0019464492797851562, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0183, device='cuda:0')
187, NMSE : 0.0019464492797851562, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0186, device='cuda:0')
188, NMSE : 0.0019426345825195312, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0190, device='cuda:0')
189, NMSE : 0.0019426345825195312, lr : 0.05
tensor(0.0002, device='cuda:0') tensor(0.0122, device='cuda:0')
190, NMSE : 0.0019426345825195312, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0233, device='cuda:0')
191, NMSE : 0.0019397735595703125, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0250, device='cuda:0')
192, NMSE : 0.0019397735595703125, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0194, device='cuda:0')
193, NMSE : 0.0019397735595703125, lr : 0.05
tensor(0.0002, device='cuda:0') tensor(0.0147, device='cuda:0')
194, NMSE : 0.0019369125366210938, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0188, device='cuda:0')
195, NMSE : 0.0019369125366210938, lr : 0.05
tensor(0.0005, device='cuda:0') tensor(0.0271, device='cuda:0')
196, NMSE : 0.0019369125366210938, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0160, device='cuda:0')
197, NMSE : 0.001934051513671875, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0195, device='cuda:0')
198, NMSE : 0.001934051513671875, lr : 0.05
tensor(0.0002, device='cuda:0') tensor(0.0152, device='cuda:0')
199, NMSE : 0.001934051513671875, lr : 0.05
tensor(0.0003, device='cuda:0') tensor(0.0219, device='cuda:0')
200, NMSE : 0.00193023681640625, lr : 0.05
tensor(0.0004, device='cuda:0') tensor(0.0240, device='cuda:0')
Backend QtAgg is interactive backend. Turning interactive mode on.
0 2.892578125 0.05 6.7421875
inversion time : 116.80122828483582
start, NMSE : 0.0360107421875
1, NMSE : 0.0360107421875, lr : 0.05
  1%|██▊                                                                                                                                                                                                                                                                                 | 1/100 [02:04<3:25:16, 124.41s/it]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.5929, device='cuda:0') tensor(0.4870, device='cuda:0')
2, NMSE : 0.03436279296875, lr : 0.05
tensor(0.5580, device='cuda:0') tensor(0.4956, device='cuda:0')
3, NMSE : 0.0328369140625, lr : 0.05
tensor(0.4811, device='cuda:0') tensor(0.4872, device='cuda:0')
4, NMSE : 0.031463623046875, lr : 0.05
tensor(0.4582, device='cuda:0') tensor(0.4540, device='cuda:0')
5, NMSE : 0.0301971435546875, lr : 0.05
tensor(0.4368, device='cuda:0') tensor(0.3268, device='cuda:0')
6, NMSE : 0.02899169921875, lr : 0.05
tensor(0.3606, device='cuda:0') tensor(0.4391, device='cuda:0')
7, NMSE : 0.0279541015625, lr : 0.05
tensor(0.3188, device='cuda:0') tensor(0.4837, device='cuda:0')
8, NMSE : 0.0269317626953125, lr : 0.05
tensor(0.2804, device='cuda:0') tensor(0.5130, device='cuda:0')
9, NMSE : 0.0260162353515625, lr : 0.05
tensor(0.2483, device='cuda:0') tensor(0.4973, device='cuda:0')
10, NMSE : 0.0251617431640625, lr : 0.05
tensor(0.2303, device='cuda:0') tensor(0.5018, device='cuda:0')
